Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	EvalWin	EvalScore	Entropy	KL	ClipFrac	StopIter	Time
72	0.0	10.0	10.0	-10.0	202.72223	0.005612025	2.4991624	11.406636	-12.190762	292000	-0.057954166	-0.0038689177	27.242113	-0.023495993	0.51506025	0.562751	0.5795416	0.00017629338	0.019368684	79.0	975.8281486034393
73	0.0	10.0	10.0	-10.0	141.13637	-0.037547115	2.580835	11.0677595	-12.212466	296000	-0.057571705	-0.0038876075	27.108109	-0.026262283	0.51506025	0.562751	0.5757171	-1.2861022e-05	0.019370722	79.0	982.3693251609802
74	0.0	10.0	10.0	-10.0	161.86363	0.010446316	2.6124604	11.7880335	-11.927026	300000	-0.057312	-0.0038635388	26.981176	-0.02526792	0.51506025	0.562751	0.57312	0.00023192055	0.01902903	79.0	988.6786482334137
75	0.0	10.0	10.0	-10.0	145.40909	0.00325196	2.6276724	13.020466	-12.086447	304000	-0.05687648	-0.0038260228	26.836563	-0.023795763	0.51506025	0.562751	0.56876475	0.00021975795	0.019007495	79.0	995.3602075576782
76	0.0	10.0	10.0	-10.0	183.42105	0.0005552907	2.5011945	12.578445	-13.068663	308000	-0.0564639	-0.0038360201	26.703234	-0.02392292	0.51506025	0.562751	0.564639	0.00039891945	0.018347895	79.0	1002.021253824234
77	0.0	10.0	10.0	-10.0	160.26086	-0.013029539	2.655596	12.973382	-12.977535	312000	-0.056124806	-0.0038001295	26.60224	-0.022901854	0.51506025	0.562751	0.5612481	-3.1517604e-06	0.018425478	79.0	1008.8120193481445
78	0.0	10.0	10.0	-10.0	153.66667	0.010921031	2.4004066	11.006622	-11.485912	316000	-0.05575714	-0.0037835941	26.488333	-0.023053488	0.51506025	0.562751	0.55757135	0.00029529014	0.01851535	79.0	1015.6357519626617
79	0.0	10.0	10.0	-10.0	150.19048	-0.011479714	2.537428	11.529335	-11.633775	320000	-0.055390302	-0.0037864025	26.388124	-0.020978928	0.51506025	0.562751	0.55390304	0.0004487501	0.01790697	79.0	1022.6257674694061
80	0.0	10.0	10.0	-10.0	129.14815	-0.005777996	2.8359056	11.34639	-11.793344	324000	-0.05507706	-0.0037551268	26.346884	-0.012301127	0.47791162	0.54066265	0.5507707	9.353601e-05	0.017806387	79.0	1172.0483090877533
81	0.0	10.0	10.0	-10.0	145.77272	-0.09501769	2.3198135	11.22948	-11.761502	328000	-0.054756	-0.003785337	26.227	-0.02739779	0.47791162	0.54066265	0.54755986	1.0118393e-05	0.017717412	79.0	1179.1634588241577
82	0.0	10.0	10.0	-10.0	172.61111	-0.010712572	2.5489926	11.587715	-12.178498	332000	-0.05459428	-0.0037232072	26.084421	-0.015539169	0.47791162	0.54066265	0.5459428	0.0008226132	0.017936612	79.0	1186.0042161941528
